Geography,FIPS,Estimate (Total consumer expenditures per household ),MoE (Total consumer expenditures per household )
"Census Tract 1, Alabama",01111000100,55355.15,
"Census Tract 1, Georgia",13121000100,196582.52,
"Census Tract 1, Georgia",13059000100,38964.68,
"Census Tract 10.01, Georgia",13121001001,124573.25,
"Census Tract 10.02, Georgia",13121001002,52050.89,
"Census Tract 100.03, Georgia",13121010003,145983.7,
"Census Tract 100.04, Georgia",13121010004,258645.11,
"Census Tract 100.05, Georgia",13121010005,298793.76,
"Census Tract 100.06, Georgia",13121010006,147763.03,
"Census Tract 100.07, Georgia",13121010007,243611.61,
"Census Tract 1001.01, Georgia",13217100101,82825.46,
"Census Tract 1001.02, Georgia",13217100102,121563.38,
"Census Tract 1002.02, Georgia",13217100202,117457.68,
"Census Tract 1002.03, Georgia",13217100203,98833.98,
"Census Tract 1002.04, Georgia",13217100204,103801.19,
"Census Tract 1003.01, Georgia",13217100301,72509.12,
"Census Tract 1003.02, Georgia",13217100302,93951.27,
"Census Tract 1004, Georgia",13217100400,69217.61,
"Census Tract 1005.03, Georgia",13217100503,76606.28,
"Census Tract 1005.04, Georgia",13217100504,65901.11,
"Census Tract 1005.05, Georgia",13217100505,114939.4,
"Census Tract 1005.06, Georgia",13217100506,69585.75,
"Census Tract 1005.07, Georgia",13217100507,75789.17,
"Census Tract 1006, Georgia",13217100600,58468.3,
"Census Tract 1007.01, Georgia",13217100701,47928.36,
"Census Tract 1007.02, Georgia",13217100702,60422.12,
"Census Tract 1008.01, Georgia",13217100801,71905.95,
"Census Tract 1008.02, Georgia",13217100802,79852.66,
"Census Tract 1009.02, Georgia",13217100902,73697.48,
"Census Tract 1009.03, Georgia",13217100903,67165.93,
"Census Tract 1009.04, Georgia",13217100904,91798.01,
"Census Tract 1009.05, Georgia",13217100905,81841.87,
"Census Tract 101, Georgia",13143010100,75482.61,
"Census Tract 101, Georgia",13211010100,85745.83,
"Census Tract 101, Georgia",13233010100,78660.32,
"Census Tract 101, Georgia",13159010100,65702.72,
"Census Tract 101.04, Georgia",13157010104,78233.71,
"Census Tract 101.05, Georgia",13157010105,85506.18,
"Census Tract 101.06, Georgia",13157010106,95630.58,
"Census Tract 101.06, Georgia",13121010106,138634.8,
"Census Tract 101.07, Georgia",13157010107,135261.45,
"Census Tract 101.07, Georgia",13121010107,272039.59,
"Census Tract 101.08, Georgia",13121010108,190319.72,
"Census Tract 101.08, Georgia",13157010108,79394.65,
"Census Tract 101.09, Georgia",13157010109,121171.59,
"Census Tract 101.15, Georgia",13121010115,171325.26,
"Census Tract 101.17, Georgia",13121010117,80933.4,
"Census Tract 101.20, Georgia",13121010120,94382.46,
"Census Tract 101.21, Georgia",13121010121,139737.82,
"Census Tract 101.24, Georgia",13121010124,68586.29,
"Census Tract 101.25, Georgia",13121010125,95449.5,
"Census Tract 101.26, Georgia",13121010126,82374.02,
"Census Tract 101.27, Georgia",13121010127,129448.97,
"Census Tract 101.28, Georgia",13121010128,52030.98,
"Census Tract 101.29, Georgia",13121010129,136772.34,
"Census Tract 101.30, Georgia",13121010130,139010.24,
"Census Tract 101.31, Georgia",13121010131,148313.49,
"Census Tract 101.32, Georgia",13121010132,128521.05,
"Census Tract 101.33, Georgia",13121010133,112042.03,
"Census Tract 101.34, Georgia",13121010134,71608.39,
"Census Tract 101.35, Georgia",13121010135,88331.43,
"Census Tract 101.36, Georgia",13121010136,150578.85,
"Census Tract 101.37, Georgia",13121010137,123662.49,
"Census Tract 102, Georgia",13211010200,78829.79,
"Census Tract 102, Georgia",13157010200,71125.46,
"Census Tract 102, Georgia",13159010200,72446.54,
"Census Tract 102.01, Georgia",13143010201,62861.33,
"Census Tract 102.01, Georgia",13233010201,77302.92,
"Census Tract 102.02, Georgia",13143010202,64238.89,
